parent_experiment_id,model_key,task,text_source,subset_name,control_type,status,n,unstable_small_n,primary_metric,observed_score,random_mean,random_std,random_min,random_max,random_p02_5,random_p50,random_p97_5,observed_minus_random_mean,observed_percentile,empirical_p_greater_equal,n_draws_requested,n_draws_successful
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,other_or_unclear_and_relevance_medium_high,random_same_n,ok,68,False,jaccard,0.25980392156862747,0.189703431372549,0.038403648260065266,0.06985294117647059,0.3431372549019608,0.11519607843137254,0.1924019607843137,0.2610294117647059,0.07010049019607847,97.2,0.03496503496503497,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,article_type_high_prior_and_relevance_medium_high_and_spatial_250m_ge_0.8,random_same_n,ok,21,True,jaccard,0.4325396825396825,0.19051190476190477,0.0758224119576583,0.0,0.4325396825396825,0.047619047619047616,0.19047619047619047,0.3492063492063492,0.24202777777777773,100.0,0.001998001998001998,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,other_or_unclear_and_relevance_medium_high_and_spatial_250m_ge_0.8,random_same_n,ok,42,False,jaccard,0.28968253968253965,0.19196031746031747,0.05217448546690669,0.055555555555555546,0.38095238095238093,0.09915674603174601,0.19047619047619047,0.2976190476190476,0.09772222222222218,96.8,0.03496503496503497,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content_shuffled,all,random_same_n,ok,275,False,jaccard,0.07666666666666667,0.07666666666666666,7.224451639598268e-18,0.07666666666666665,0.07666666666666667,0.07666666666666665,0.07666666666666666,0.07666666666666667,1.3877787807814457e-17,100.0,1.0,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content_shuffled,point_label_share_250m_ge_0.8,random_same_n,ok,160,False,jaccard,0.08541666666666667,0.07691354166666667,0.012433631578401804,0.03802083333333333,0.1140625,0.052604166666666674,0.0765625,0.10104166666666665,0.008503125,75.4,0.25574425574425574,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content_shuffled,point_label_share_500m_ge_0.8,random_same_n,ok,124,False,jaccard,0.0913978494623656,0.07601814516129031,0.015813184538493157,0.02486559139784946,0.12298387096774194,0.04569892473118279,0.07560483870967741,0.10685483870967742,0.015379704301075284,83.2,0.17882117882117882,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content_shuffled,point_label_share_250m_ge_0.9,random_same_n,ok,140,False,jaccard,0.07857142857142857,0.07705833333333334,0.015003238454268675,0.013095238095238094,0.12023809523809523,0.04880952380952381,0.07767857142857143,0.10656249999999999,0.00151309523809523,53.5,0.4835164835164835,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content_shuffled,dominant_matches_point_label_250m,random_same_n,ok,251,False,jaccard,0.08001328021248341,0.07660889774236386,0.0045246792388285205,0.06009296148738379,0.08399734395750333,0.06673306772908366,0.07735723771580344,0.08399734395750331,0.003404382470119552,80.60000000000001,0.2917082917082917,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content_shuffled,dominant_matches_point_label_500m,random_same_n,ok,218,False,jaccard,0.08295107033639144,0.0768249235474006,0.007232970727921763,0.04472477064220184,0.09518348623853211,0.061544342507645254,0.07721712538226301,0.08906727828746176,0.006126146788990844,80.4,0.22577422577422576,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content_shuffled,relevance_medium_high,random_same_n,ok,153,False,jaccard,0.11165577342047932,0.07640740740740741,0.013137220397603337,0.03376906318082788,0.11982570806100216,0.05010893246187363,0.07625272331154684,0.10185185185185185,0.03524836601307191,99.7,0.003996003996003996,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content_shuffled,relevance_high,random_same_n,ok,63,False,jaccard,0.08333333333333333,0.07737433862433862,0.02619301384611598,0.009259259259259259,0.1746031746031746,0.026455026455026454,0.07671957671957672,0.132308201058201,0.005958994708994705,61.1,0.41858141858141856,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content_shuffled,evidence_sentences_count_ge_1,random_same_n,ok,209,False,jaccard,0.09449760765550241,0.07603189792663477,0.008100800330735116,0.04425837320574163,0.09768740031897925,0.05939992025518341,0.07615629984051037,0.09090909090909091,0.018465709728867644,99.6,0.005994005994005994,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content_shuffled,evidence_sentences_count_ge_2,random_same_n,ok,204,False,jaccard,0.0968137254901961,0.0770142973856209,0.008481370436335884,0.0428921568627451,0.10212418300653595,0.05923202614379084,0.07720588235294117,0.09273897058823527,0.01979942810457519,99.5,0.007992007992007992,1000,1000
